Time Slot,Distance(m),FreeSpacePathLossWithoutAntennas(dB),Power(dBm),PathGain(dB),TransmissionLoss(dB),PathLoss(dB),ExcessPathLoss(dB),Phase(deg),FreeSpacePathLoss(dB),MeanTimeOfArrival(sec)
223,577.69,93.7088,-114.372,-121.322,121.322,121.322,18.1524,-57.7072,103.169,2.58E-06
224,578.275,93.7176,-118.905,-125.856,125.856,125.856,22.4646,-105.201,103.391,2.55E-06
225,578.858,93.7264,-115.553,-122.503,122.503,122.503,18.8804,75.6709,103.623,2.65E-06
226,579.44,93.7351,-115.356,-122.307,122.307,122.307,18.4394,-46.0844,103.867,3.11E-06
227,580.019,93.7438,-106.602,-113.552,113.552,113.552,9.42447,163.589,104.128,3.53E-06
228,580.597,93.7524,-107.54,-114.49,114.49,114.49,10.0822,8.43725,104.408,3.52E-06
229,581.171,93.761,-110.134,-117.085,117.085,117.085,12.3763,-108.052,104.709,3.52E-06
230,581.743,93.7696,-108.082,-115.033,115.033,115.033,10.0059,96.6413,105.027,3.58E-06
231,690.984,95.265,-123.122,-130.073,130.073,130.073,25.4192,102.337,104.653,2.84E-06
232,582.312,93.7781,-116.925,-123.875,123.875,123.875,18.5166,77.1811,105.359,3.60E-06
233,582.878,93.7865,-106.337,-113.287,113.287,113.287,7.58694,15.3113,105.701,3.59E-06
234,583.44,93.7949,-101.032,-107.982,107.982,107.982,1.85974,-118.362,106.122,3.50E-06
235,583.999,93.8032,-104.46,-111.41,111.41,111.41,4.7315,132.475,106.679,3.18E-06
236,584.555,93.8115,-109.497,-116.447,116.447,116.447,9.1568,74.5405,107.29,2.13E-06
237,585.107,93.8197,-108.358,-115.309,115.309,115.309,7.34066,11.412,107.968,2.12E-06
238,585.654,93.8278,-105.856,-112.806,112.806,112.806,4.07714,-55.54,108.729,2.09E-06
239,586.199,93.8359,-113.589,-120.539,120.539,120.539,10.9383,-20.4814,109.601,2.14E-06
240,586.738,93.8439,-107.243,-114.193,114.193,114.193,3.56652,-158.04,110.627,2.16E-06
241,587.273,93.8518,-108.142,-115.093,115.093,115.093,3.23425,-106.669,111.858,2.02E-06
242,691.145,95.267,-121.326,-128.277,128.277,128.277,23.4357,146.559,104.841,2.88E-06
243,587.803,93.8596,-112.359,-119.31,119.31,119.31,5.96515,52.0249,113.344,2.00E-06
244,588.328,93.8674,-111.086,-118.037,118.037,118.037,3.69353,-117.075,114.343,2.00E-06
245,588.848,93.8751,-116.118,-123.068,123.068,123.068,7.84466,83.4696,115.223,2.00E-06
246,589.362,93.8826,-110.08,-117.03,117.03,117.03,1.06931,-117.375,115.961,2.01E-06
247,589.87,93.8901,-118.898,-125.848,125.848,125.848,9.81857,115.329,116.03,2.11E-06
248,590.373,93.8975,-107.149,-114.099,114.099,114.099,-1.87299,6.16346,115.972,2.13E-06
249,590.869,93.9048,-109.107,-116.058,116.058,116.058,0.168477,-125.174,115.889,2.11E-06
250,591.359,93.912,-115.451,-122.401,122.401,122.401,6.42697,101.998,115.974,2.11E-06
251,591.842,93.9191,-107.131,-114.081,114.081,114.081,2.47419,27.8235,111.607,2.04E-06
252,592.319,93.9261,-100.181,-107.131,107.131,107.131,-3.32702,-27.6324,110.458,2.03E-06
253,691.3,95.269,-134.02,-140.97,140.97,140.97,35.9542,175.225,105.016,2.84E-06
254,592.792,93.9331,-98.4301,-105.381,105.381,105.381,-4.54247,-100.986,109.923,2.02E-06
255,593.259,93.9399,-98.201,-105.151,105.151,105.151,-4.27257,-137.213,109.424,2.01E-06
256,593.722,93.9467,-95.9168,-102.867,102.867,102.867,-6.09003,-141.331,108.957,2.01E-06
